MatchID,GameID,Team Name,TeamID,Result,Pistols Won,Potential Thrifties,Thrifties Won
644714,258354,BBL,3478,won,1,2,0
644714,258354,PCF,397,lost,1,3,1
644714,258355,BBL,3478,won,0,2,0
644714,258355,PCF,397,lost,2,1,0
644716,258357,GX,3478,won,2,1,0
644716,258357,PCF,14419,lost,0,2,0
644716,258358,PCF,14419,won,0,3,0
644716,258358,GX,3478,lost,2,1,1
644716,258359,GX,3478,won,2,1,0
644716,258359,PCF,14419,lost,0,3,1
644717,258360,EF,6392,won,1,1,0
644717,258360,BBL,397,lost,1,2,1
644717,258361,EF,6392,won,1,2,0
644717,258361,BBL,397,lost,1,1,0
644718,258363,FNC,2593,won,2,2,1
644718,258363,VIT,2059,lost,0,3,0
644718,258364,FNC,2593,won,2,4,2
644718,258364,VIT,2059,lost,0,3,1
644719,258366,TL,1001,won,1,3,2
644719,258366,TH,474,lost,1,4,0
644719,258367,TL,1001,won,2,0,0
644719,258367,TH,474,lost,0,4,1
644720,258369,NAVI,1184,won,2,1,0
644720,258369,FUT,4915,lost,0,3,2
644720,258370,FUT,4915,won,1,3,1
644720,258370,NAVI,1184,lost,1,1,0
644720,258371,FUT,4915,won,1,1,0
